Prod code,Sale code,Mã NVL,Type,Component Desc.,ĐVT,BOM unit,Time Apply,Remark
6850EC3006V-T,6850EC3006V-T,6850EC3006V-C,WIP,Harness Single,EA,1,2026-01-01 00:00:00,
6850EC3006V-T,6850EC3006V-T,HOUX01156NA,MAT,HOUSING,EA,1,2026-01-01 00:00:00,
6850EC3006V-T,6850EC3006V-T,TAPA00013NA,MAT,TAPE PVC,M,0.41,2026-01-01 00:00:00,
6850EC3006V-T,6850EC3006V-T,TPAX00201NA,MAT,TPA,EA,2,2026-01-01 00:00:00,
6850EC3006X-T,6850EC3006X-T,6850EC3006X-C,WIP,Harness Single,EA,1,2026-02-01 00:00:00,
6850EC3006X-T,6850EC3006X-T,BAGD00004NA,MAT,BAG PVC,EA,0.02,2026-02-01 00:00:00,
6850EC3006X-T,6850EC3006X-T,HOUX01128NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
6850EC3006X-T,6850EC3006X-T,TAPA00013NA,MAT,TAPE PVC,M,0.28,2026-02-01 00:00:00,
6850EC3006X-T,6850EC3006X-T,TAPB00003NA,MAT,TAPE ACETATE,M,0.06,2026-02-01 00:00:00,
6850EC3006X-T,6850EC3006X-T,TPAX00198NA,MAT,TPA,EA,2,2026-02-01 00:00:00,
7200007556-I,7200007556-I,7200007556-C,WIP,Harness Multi,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,7200007556-C-TUBC-210,WIP,Harness Multi,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,CATX00072NA,MAT,CABLE TIE,EA,5,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX00611NA,MAT,HOUSING,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX01879NA,MAT,HOUSING,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX01880NA,MAT,HOUSING,EA,2,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX01881NA,MAT,HOUSING,EA,2,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX01882NA,MAT,HOUSING,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX01885NA,MAT,HOUSING,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,HOUX01940NA,MAT,HOUSING,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,LBLX00563NA,MAT,LABEL,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00116NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00118NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00119NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00120NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00125NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00126NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00136NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00232NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007556-I,7200007556-I,TUBA00235NA,MAT,TUBE PVC,EA,1,2026-01-01 00:00:00,
7200007689-I,7200007689-I,7200007689-C,WIP,Harness Multi,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,CATX00072NA,MAT,CABLE TIE,EA,5,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX00526NA,MAT,HOUSING,EA,2,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX00611NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01867NA,MAT,HOUSING,EA,2,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01875NA,MAT,HOUSING,EA,2,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01879NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01880NA,MAT,HOUSING,EA,2,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01881NA,MAT,HOUSING,EA,2,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01882NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01884NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01885NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,HOUX01940NA,MAT,HOUSING,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00116NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00117NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00119NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00120NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00125NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00126NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00136NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00235NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00240NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
7200007689-I,7200007689-I,TUBA00241NA,MAT,TUBE PVC,EA,1,2026-02-01 00:00:00,
