No.,Type code,Item code,Spec,Unit,Đơn giá TK
1,NVL,6850EC3006V-C,"WM FX Best US,,Harness Single,Kepler Washer",EA,3882
2,NVL,6850EC3006X-C,"WM F/L24,Harness Single,24WT PCB Joint",EA,4028
3,NVL,7200007556-C,"ATM Harness,,Harness Multi,HyoSung TNS Main",EA,247550
4,NVL,7200007556-C-TUBC-210,"ATM Harness,,Harness Multi,CABLE_ASSY_WIRING HARNESS_MX2600_BODY",EA,242
5,NVL,7200007689-C,"ATM Harness,,Harness Multi,HyoSung TNS Main",EA,236511
6,NVL,7200007689-C-TUBC-210,"ATM Harness,,Harness Multi,CABLE_ASSY_WIRING HARNESS_MX2800SE_BODY",EA,242
7,NVL,BAGA00005NA,",,BAG PE,PE BAG 100*150*1T WH(FLAME RETARDANT)-VN",EA,678
8,NVL,BAGA00007NA,",,BAG PE,PE BAG 100*200*1T WH(FLAME RETARDANT)",EA,775
9,NVL,BAGA00011NA,",,BAG PE,PE BAG 100*280*1T WH(FLAME RETARDANT)",EA,1092
10,NVL,BAGA00033NA,",,BAG PE,PE BAG 100*140*1T WH (FLAME RETARDANT)",EA,642
11,NVL,BAGC00005NA,",,BAG AIR CAP,50*80",EA,150
12,NVL,BAGD00004NA,",,BAG PVC,T0.0001*170*240",EA,354
13,NVL,BNDC00002NA,",,BAND RUBBER,15PHI",EA,10
14,NVL,CATX00032NA,",,CABLE TIE ,CMT-150 WH",EA,443
15,NVL,CATX00053NA,",,CABLE TIE ,PMT-165 BL",EA,500
16,NVL,CATX00072NA,",,CABLE TIE ,CABLE TIE 100MM",EA,51
17,NVL,CORX00015NA,",,CORE ,CM3115BG",EA,8609
18,NVL,CORX00016NA,",,CORE,CM3615BG",EA,8741
19,NVL,CORX00035NA,",,CORE ,OP 14A",EA,1453
20,NVL,CORX00038NA,",,CORE ,OP 18A",EA,2124
21,NVL,CORX00081NA,",,CORE ,TR 19*13*11 G8A",EA,1881
22,NVL,CORX00181NA,",,CORE,NR23G1",EA,5532
23,NVL,COVC00042NA,",,COVER HOUSING(PVC),DDICH-4P-KN",EA,868
24,NVL,COVC00047NA,",,COVER HOUSING(PVC),DDICH 6P-N(TI)",EA,1302
25,NVL,EAD60704053-C,"Ref,Harness Assembly,Ref SxS PCB Display Joint",EA,2840
26,NVL,EAD60843547-C,"Dryer Main ELEC,,Harness Multi,Victor2(D) Steam EUS",EA,292727
27,NVL,EAD60946255-C,"Dryer Main ELEC,,Harness Multi,TD(D) 27"" Pro2",EA,103418
28,NVL,EAD61212398-C,"WM F/L 24,Harness Single,VX Display joint",EA,4875
29,NVL,EAD61749501-C,"Ref,Harness Single,Majesty Pantry PCB joint",EA,2229
30,NVL,EAD62061319-C,"WM F/L 24,,Harness Single,Vivace onboarding",EA,5911
31,NVL,EAD62090005-C,"Ref,,Harness Assembly,Raptor7 (Pillar joint)",EA,5220
32,NVL,EAD62428629-C,"Ref,,Harness Assembly,Raptor7 (Comp Joint)",EA,6805
33,NVL,EAD62428629-C-TUBA-085,"Ref,,Harness Assembly,Raptor7 (Comp Joint)",EA,445
34,NVL,EAD62468244-C,"WM F/L 24,,Harness Single,Victor 2 (Joint) V+",EA,854
35,NVL,EAD63845502-C,"Ref,,Harness Assembly,Ref Majesty 4D (Wifi Joint)",EA,1319
36,NVL,EAD63911344-C,"Ref,,Harness Assembly,T-VN6 F (CF Main)",EA,108080
37,NVL,EAD63911344-C-TUBA-089,"Ref,,Harness Assembly-Tube,T-VN6 F (CF Main)",EA,249
38,NVL,EAD63911348-C,"Ref,Harness Multi,Raptor2 (B) US (CF Main)",EA,81869
39,NVL,EAD63911348-C-TUBA-089,"Ref,Harness Multi,Raptor2 (B) US (CF Main)",EA,249
40,NVL,EAD63911352-C,"Ref,Harness Multi,Ref VB26 Main",EA,84022
41,NVL,EAD63911352-C-TUBA-089,"Ref,Harness Multi,Ref VB26 Main",EA,249
42,NVL,EAD63911358-C,"Ref,Harness Multi,F-VN6 B India (CF Main)",EA,85487
43,NVL,EAD63911358-C-TUBA-089,"Ref,Harness Multi,F-VN6 B India (CF Main)",EA,249
44,NVL,EAD63911418-C,"Ref,,Harness Assembly,T-VN6 F (Case joint)",EA,57807
45,NVL,EAD63911420-C,"Ref,Harness Assembly,F-VN7 (Cabinet)",EA,46464
46,NVL,EAD63911511-C,"Ref,Harness Assembly,Ref VB26 Assembly",EA,5936
47,NVL,EAD63913527-C,"Ref,,Harness Multi,QT20 Main assembly",EA,91135
48,NVL,EAD63913527-C-TUBA-089,"Ref,,Harness Multi,QT20 Main assembly",EA,1058
49,NVL,EAD63913527-C-TUBC-114,"Ref,,Harness Multi,QT20 Main assembly",EA,195
50,NVL,EAD63913529-C,"Ref,Harness Multi,QT20 Saudi Main Assembly",EA,96818
51,NVL,EAD63913529-C-TUBA-089,"Ref,Harness Multi,WIP TUBE QT20 Saudi Main Assembly",EA,1058
52,NVL,EAD63913529-C-TUBC-114,"Ref,Harness Multi,WIP TUBE QT20 Saudi Main Assembly",EA,194
53,NVL,EAD63954790-C,"WM T/L23,Harness Single,VBT23 VN Main",EA,32628
54,NVL,EAD63954791-C,"WM T/L23,Harness Single,VBT23 Korea Main",EA,34528
55,NVL,EAD64109903-C,"Ref,Harness Single,Majesty Holder Rail Joint",EA,1008
56,NVL,EAD64149412-C,"WM T/L23,Harness Single,VBT23 Motor",EA,24845
