No.,Type code,Prod code,Sale code,Spec,Unit,Check BOM,Remark
1,TP,EAD64587813-T,EAD64587813-T,"WM FX Best US,,Harness Single,Rotary",EA,,
2,TP,EAD64545802-T,EAD64545802-T,"WM F/L27,,Harness Single,Victor2",EA,,
3,TP,EAD64745627-I,EAD64745627-I,"Ref,,Harness Assembly,Ref Majesty 3D (Case)",EA,,
4,TP,EAD65606211-I,EAD65606211-I,"Ref,Harness Assembly,Raptor2 Q US (Cabinet)",EA,,
5,TP,EAD61749501-T,EAD61749501-T,"Ref,Harness Single,Majesty Pantry PCB joint",EA,,
6,TP,EAD65606209-I,EAD65606209-I,"Ref,Harness Assembly,Ref Raptor (Pillar joint)",EA,,
7,TP,EAD64169021-I,EAD64169021-I,"WM F/L24,,Harness Multi,Vivace Original WD Vietnam",EA,,
8,TP,EAD64545383-I,EAD64545383-I,"WM F/L 27,,Harness Multi,Victor2Refresh 5.0 KR",EA,,
9,TP,EAD60704053-T,EAD60704053-T,"Ref,Harness Assembly,Ref SxS PCB Display Joint",EA,,
10,TP,EAD65616820-I,EAD65616820-I,"Oven,Harness Multi,Oven Nova F/S Main",EA,,
11,TP,EAD66006017-I,EAD66006017-I,"WM F/L 27,Harness Multi,Victor2 Military Korea",EA,,
12,TP,EAD64587836-T,EAD64587836-T,"WM F/L27,Harness Single,FX (D) new LCD Molding wire",EA,,
13,TP,EAD66006018-I,EAD66006018-I,"WM F/L 27,Harness Multi,FX Best US in VH",EA,,
14,TP,EAD65896555-I,EAD65896555-I,"VCC Single,,Harness Single,VCC A9S Single",EA,,
15,TP,EAD66091505-I,EAD66091505-I,"Ref,Harness Multi,Ref Majesty 3D Basic (CF Main)",EA,,
16,TP,EAD64545399-I,EAD64545399-I,"WM F/L 27,,Harness Multi,FX Better US",EA,,
17,TP,EAD63913529-I,EAD63913529-I,"Ref,Harness Multi,QT20 Saudi Main Assembly",EA,,
18,TP,6850EC3006V-T,6850EC3006V-T,"WM FX Best US,,Harness Single,Kepler Washer",EA,,
19,TP,6850EC3006X-T,6850EC3006X-T,"WM F/L24,Harness Single,24WT PCB Joint",EA,,
20,TP,7200007556-I,7200007556-I,"ATM Harness,,Harness Multi,HyoSung TNS Main",EA,,
21,TP,7200007689-I,7200007689-I,"ATM Harness,,Harness Multi,HyoSung TNS Main",EA,,
22,TP,EAD60843547-I,EAD60843547-I,"Dryer Main ELEC,,Harness Multi,Victor2(D) Steam EUS",EA,,
23,TP,EAD60946255-I,EAD60946255-I,"Dryer Main ELEC,,Harness Multi,TD(D) 27"" Pro2",EA,,
24,TP,EAD61212398-T,EAD61212398-T,"WM F/L 24,Harness Single,VX Display joint",EA,,
25,TP,EAD62061319-T,EAD62061319-T,"WM F/L 24,,Harness Single,Vivace onboarding",EA,,
26,TP,EAD62090005-T,EAD62090005-T,"Ref,,Harness Assembly,Raptor7 (Pillar joint)",EA,,
27,TP,EAD62428629-T,EAD62428629-T,"Ref,,Harness Assembly,Raptor7 (Comp Joint)",EA,,
28,TP,EAD62468244-T,EAD62468244-T,"WM F/L 24,,Harness Single,Victor 2 (Joint) V+",EA,,
29,TP,EAD63845502-T,EAD63845502-T,"Ref,,Harness Assembly,Ref Majesty 4D (Wifi Joint)",EA,,
30,TP,EAD63911344-I,EAD63911344-I,"Ref,,Harness Assembly,T-VN6 F (CF Main)",EA,,
31,TP,EAD63911348-I,EAD63911348-I,"Ref,Harness Multi,Raptor2 (B) US (CF Main)",EA,,
32,TP,EAD63911352-I,EAD63911352-I,"Ref,Harness Multi,Ref VB26 Main",EA,,
33,TP,EAD63911358-I,EAD63911358-I,"Ref,Harness Multi,F-VN6 B India (CF Main)",EA,,
34,TP,EAD63911418-I,EAD63911418-I,"Ref,,Harness Assembly,T-VN6 F (Case joint)",EA,,
