Mã NVL CK,Period,Org,Item,Item Desc,Uom,Account,Name,Subinv,Locator,Begin Qty,PO Receipt,Nocharge,WIP Comp,Wip Issue,SUBINV IN,SUBINV OUT,Issue Sale,Issue Adjust,Ending,Transfer,Misc Rcpt,Misc Issue,Misc Sub in,Misc Sub Out,Item Trans in,Item Trans out,Org Move in,Org Move Out
6850EC3006V-C,2026-04,VH1,6850EC3006V-C,"WM FX Best US,,Harness Single,Kepler Washer",EA,15410-00,Chi phí SXKD dở dang @재공품,35C,35C.E42,2000,-,-,-,-19000,17000,-,-,-,-,-,-,-,-,-,-,-,-,-
6850EC3006X-C,2026-04,VH1,6850EC3006X-C,"WM F/L24,Harness Single,24WT PCB Joint",EA,15410-00,Chi phí SXKD dở dang @재공품,35C,35C.E42,-,-,-,-,-997,1000,-,-,-,3,-,-,-,-,-,-,-,-,-
7200007556-C,2026-04,VH1,7200007556-C,"ATM Harness,,Harness Multi,HyoSung TNS Main",EA,15410-00,Chi phí SXKD dở dang @재공품,35C,35C.E42,9,-,-,-,-298,289,-,-,-,-,-,-,-,-,-,-,-,-,-
7200007556-C-TUBC-210,2026-04,VH1,7200007556-C-TUBC-210,"ATM Harness,,Harness Multi,CABLE_ASSY_WIRING HARNESS_MX2600_BODY",EA,15410-00,Chi phí SXKD dở dang @재공품,35C,35C.E42,9,-,-,-,-298,289,-,-,-,-,-,-,-,-,-,-,-,-,-
7200007689-C,2026-04,VH1,7200007689-C,"ATM Harness,,Harness Multi,HyoSung TNS Main",EA,15410-00,Chi phí SXKD dở dang @재공품,35C,35C.E42,2,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7200007689-C-TUBC-210,2026-04,VH1,7200007689-C-TUBC-210,"ATM Harness,,Harness Multi,CABLE_ASSY_WIRING HARNESS_MX2800SE_BODY",EA,15410-00,Chi phí SXKD dở dang @재공품,35C,35C.E42,260,,,,,,,,,260,,,,,,,,,
BAGA00005NA,2026-04,VH1,BAGA00005NA,",,BAG PE,PE BAG 100*150*1T WH(FLAME RETARDANT)-VN",EA,15210-00,Nguyên vật liệu chính @원재료,31C,31C.E11,1016,-,-,-,-3333,7048,-148,-,-,4583,-,-,-,-,-,-,-,-,-
BAGA00007NA,2026-04,VH1,BAGA00007NA,",,BAG PE,PE BAG 100*200*1T WH(FLAME RETARDANT)",EA,15210-00,Nguyên vật liệu chính @원재료,31C,31C.E11,14506,-,-,-,-26418,27700,-,-,-,15788,-,-,-,-,-,-,-,-,-
BAGA00011NA,2026-04,VH1,BAGA00011NA,",,BAG PE,PE BAG 100*280*1T WH(FLAME RETARDANT)",EA,15210-00,Nguyên vật liệu chính @원재료,31C,31C.E11,2006,-,-,-,-,-,-2000,-,-,6,-,-,-,-,-,-,-,-,-
BAGA00033NA,2026-04,VH1,BAGA00033NA,",,BAG PE,PE BAG 100*140*1T WH (FLAME RETARDANT)",EA,15210-00,Nguyên vật liệu chính @원재료,31C,31C.E11,168,-,-,-,-7534,8500,-,-,-,1134,-,-,-,-,-,-,-,-,-
