Period,Item code,QTY begin,SUBCON,Type,Level subcon,Remark
2026-04,CATX00072NA,1445,CKAD,MAT,1,7200007556-I
2026-04,HOUX00611NA,289,CKAD,MAT,1,7200007556-I
2026-04,HOUX01879NA,289,CKAD,MAT,1,7200007556-I
2026-04,HOUX01880NA,578,CKAD,MAT,1,7200007556-I
2026-04,HOUX01881NA,578,CKAD,MAT,1,7200007556-I
2026-04,HOUX01882NA,289,CKAD,MAT,1,7200007556-I
2026-04,HOUX01885NA,289,CKAD,MAT,1,7200007556-I
2026-04,HOUX01940NA,289,CKAD,MAT,1,7200007556-I
2026-04,LBLX00563NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00116NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00118NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00119NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00120NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00125NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00126NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00136NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00232NA,289,CKAD,MAT,1,7200007556-I
2026-04,TUBA00235NA,289,CKAD,MAT,1,7200007556-I
2026-04,7200007689-C,1,CKAD,WIP,1,7200007689-I
2026-04,CATX00072NA,5,CKAD,MAT,1,7200007689-I
2026-04,HOUX00526NA,2,CKAD,MAT,1,7200007689-I
2026-04,HOUX00611NA,1,CKAD,MAT,1,7200007689-I
2026-04,HOUX01867NA,2,CKAD,MAT,1,7200007689-I
2026-04,HOUX01875NA,2,CKAD,MAT,1,7200007689-I
2026-04,HOUX01879NA,1,CKAD,MAT,1,7200007689-I
2026-04,HOUX01880NA,2,CKAD,MAT,1,7200007689-I
2026-04,HOUX01881NA,2,CKAD,MAT,1,7200007689-I
2026-04,HOUX01882NA,1,CKAD,MAT,1,7200007689-I
2026-04,HOUX01884NA,1,CKAD,MAT,1,7200007689-I
2026-04,HOUX01885NA,1,CKAD,MAT,1,7200007689-I
2026-04,HOUX01940NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00116NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00117NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00119NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00120NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00125NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00126NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00136NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00235NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00240NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00241NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00249NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00251NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00255NA,1,CKAD,MAT,1,7200007689-I
2026-04,TUBA00256NA,2,CKAD,MAT,1,7200007689-I
2026-04,TUBA00261NA,1,CKAD,MAT,1,7200007689-I
2026-04,BAGC00005NA,400,CKAD,MAT,1,EAD61749501-T
2026-04,BNDC00002NA,400,CKAD,MAT,1,EAD61749501-T
2026-04,EAD61749501-C,4,CKAD,WIP,1,EAD61749501-T
2026-04,HOUX00422NA,4004,CKAD,MAT,1,EAD61749501-T
2026-04,HOUX00852NA,4004,CKAD,MAT,1,EAD61749501-T
2026-04,TAPA00013NA,1201,CKAD,MAT,1,EAD61749501-T
2026-04,TPAX00143NA,4004,CKAD,MAT,1,EAD61749501-T
2026-04,FOMA00392NA,4000,CKAD,MAT,1,EAD62090005-T
2026-04,FOMA00399NA,4000,CKAD,MAT,1,EAD62090005-T
2026-04,HOUX01576NA,4000,CKAD,MAT,1,EAD62090005-T
2026-04,HOUX01594NA,4000,CKAD,MAT,1,EAD62090005-T
2026-04,TAPA00013NA,1200,CKAD,MAT,1,EAD62090005-T
2026-04,TAPD00013NA,800,CKAD,MAT,1,EAD62090005-T
