Period,Ngày nhập kho,SUB code,Item code,Type,QTY ACTUAL,QTY RETURN,Ghi chú
2026-04,2026-04-01 00:00:00,,EAD63911420-C,WIP,1500,,
2026-04,2026-04-01 00:00:00,,EAD65616818-C,WIP,1000,,
2026-04,2026-04-01 00:00:00,,EAD62090005-C,WIP,2000,,
2026-04,2026-04-01 00:00:00,,EAD63845502-C,WIP,4000,,
2026-04,2026-04-01 00:00:00,,6850EC3006V-C,WIP,2000,,
2026-04,2026-04-01 00:00:00,,EAD62468244-C,WIP,8000,,
2026-04,2026-04-01 00:00:00,,EAD64109903-C,WIP,3000,,
2026-04,2026-04-01 00:00:00,,EAD64587804-C,WIP,3000,,
2026-04,2026-04-01 00:00:00,,TUBA00119NA,MAT,25,,
2026-04,2026-04-01 00:00:00,,TUBA00261NA,MAT,5,,
2026-04,2026-04-01 00:00:00,,HOUX01085NA,MAT,326,,
2026-04,2026-04-01 00:00:00,,HOUX01086NA,MAT,556,,
2026-04,2026-04-01 00:00:00,,HOUX01548NA,MAT,2021,,
2026-04,2026-04-01 00:00:00,,TPAX00288NA,MAT,2021,,
2026-04,2026-04-01 00:00:00,,HOUX00234NA,MAT,2021,,
2026-04,2026-04-01 00:00:00,,HOUX00444NA,MAT,1021,,
2026-04,2026-04-01 00:00:00,,HOUX02121NA,MAT,2021,,
2026-04,2026-04-01 00:00:00,,HOUX00445NA,MAT,2021,,
2026-04,2026-04-01 00:00:00,,HOUX00443NA,MAT,2021,,
2026-04,2026-04-01 00:00:00,,HOUX00666NA,MAT,4042,,
2026-04,2026-04-01 00:00:00,,HOUX00665NA,MAT,8084,,
2026-04,2026-04-01 00:00:00,,HOUX00667NA,MAT,8084,,
2026-04,2026-04-01 00:00:00,,HOUX00082NA,MAT,2035,,
2026-04,2026-04-01 00:00:00,,HOUX00978NA,MAT,2070,,
2026-04,2026-04-01 00:00:00,,HOUX01538NA,MAT,2011,,
2026-04,2026-04-01 00:00:00,,HOUX01553NA,MAT,2035,,
2026-04,2026-04-01 00:00:00,,TPAX00047NA,MAT,6033,,
2026-04,2026-04-01 00:00:00,,TPAX00001NA,MAT,1011,,
2026-04,2026-04-01 00:00:00,,TPAX00284NA,MAT,2011,,
2026-04,2026-04-01 00:00:00,,TPAX00291NA,MAT,2024,,
2026-04,2026-04-01 00:00:00,,BAGA00007NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,CATX00053NA,MAT,3000,,
2026-04,2026-04-01 00:00:00,,CORX00035NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00212NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00213NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00369NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00494NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00659NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX00827NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01106NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01114NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01122NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01123NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01124NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01127NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01128NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01130NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01132NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01149NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01152NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01191NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01195NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01204NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01206NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01210NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01211NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01213NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01215NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01216NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,HOUX01217NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01234NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01239NA,MAT,4000,,
2026-04,2026-04-01 00:00:00,,HOUX01241NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01364NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,HOUX01566NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,SELA00035NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,SELA00037NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,SLVB00006NA,MAT,4000,,
2026-04,2026-04-01 00:00:00,,TAPB00003NA,MAT,4020,,
2026-04,2026-04-01 00:00:00,,TAPA00013NA,MAT,8460,,
2026-04,2026-04-01 00:00:00,,TPAX00051NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00107NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00197NA,MAT,6000,,
2026-04,2026-04-01 00:00:00,,TPAX00198NA,MAT,11000,,
2026-04,2026-04-01 00:00:00,,TPAX00200NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00202NA,MAT,2000,,
2026-04,2026-04-01 00:00:00,,TPAX00206NA,MAT,1000,,
2026-04,2026-04-01 00:00:00,,TPAX00209NA,MAT,4000,,
2026-04,2026-04-01 00:00:00,,TPAX00214NA,MAT,1000,,
