Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,Mã NVL,Tên hàng,ĐVT,Type,QTY INPUT,Ngày giao hàng,QTY RETURN,Remark
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD63911420-C,"EAD63911420-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho tủ lạnh, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD63911420-C",SET/ Bộ,WIP,1500,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD65616818-C,"EAD65616818-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho lò nướng, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD65616818-C",SET/ Bộ,WIP,1000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD62090005-C,"EAD62090005-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho tủ lạnh, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD62090005-C",SET/ Bộ,WIP,2000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD63845502-C,"EAD63845502-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho tủ lạnh , bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD63845502-C",SET/ Bộ,WIP,4000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,6850EC3006V-C,"6850EC3006V-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho máy giặt, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại 6850EC3006V-C",SET/ Bộ,WIP,2000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD62468244-C,"EAD62468244-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho máy giặt, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD62468244-C",SET/ Bộ,WIP,8000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD64109903-C,"EAD64109903-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho tủ lạnh, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD64109903-C",SET/ Bộ,WIP,3000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,EAD64587804-C,"EAD64587804-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho máy giặt, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD64587804-C",SET/ Bộ,WIP,3000,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TUBA00119NA,"TUBA00119NA#&Ống dẫn dây điện bằng nhựa, dạng mềm, đã gia cố,không kèm các phụ kiện khác, phi 3.2mm, PVC NUMBERING WH 3.2PHI CDU, hàng mới 100%, loại TUBA00119NA",PCE,MAT,25,,,
2026-04,108109873910,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TUBA00261NA,"TUBA00261NA#&Ống dẫn dây điện bằng nhựa, dạng mềm, đã gia cố,không kèm các phụ kiện khác, phi 3.2mm, PVC NUMBERING WH 3.2PHI PS-CDU, hàng mới 100%, loại TUBA00261NA",PCE,MAT,5,,,
