Period,Ngày,Ngày tháng,HS code,Prod code,Sale code,Item code,STOCK OUT - IN,REQUEST_KIND,Transaction type,QTY,Remark
2026-04,30,2026-04-30 00:00:00,7200007556V1,,,TUBA00119NA,CKAD,OUT,OUT SCRAP,25,
2026-04,30,2026-04-30 00:00:00,7200007556V1,,,TUBA00261NA,CKAD,OUT,OUT SCRAP,5,
2026-04,30,2026-04-30 00:00:00,EAD63911358,,,HOUX01085NA,CKAD,OUT,OUT SCRAP,326,
2026-04,30,2026-04-30 00:00:00,EAD63911358,,,HOUX01086NA,CKAD,OUT,OUT SCRAP,56,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX01548NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,TPAX00288NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00234NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00444NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX02121NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00445NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00443NA,CKAD,OUT,OUT SCRAP,21,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00666NA,CKAD,OUT,OUT SCRAP,42,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00665NA,CKAD,OUT,OUT SCRAP,84,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00667NA,CKAD,OUT,OUT SCRAP,84,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00082NA,CKAD,OUT,OUT SCRAP,35,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX00978NA,CKAD,OUT,OUT SCRAP,70,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX01538NA,CKAD,OUT,OUT SCRAP,11,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,HOUX01553NA,CKAD,OUT,OUT SCRAP,35,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,TPAX00047NA,CKAD,OUT,OUT SCRAP,33,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,TPAX00001NA,CKAD,OUT,OUT SCRAP,11,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,TPAX00284NA,CKAD,OUT,OUT SCRAP,11,
2026-04,30,2026-04-30 00:00:00,EAD65616818,,,TPAX00291NA,CKAD,OUT,OUT SCRAP,24,
2026-04,30,2026-04-30 00:00:00,7200007556V1,,,HOUX01885NA,CKAD,OUT,OUT SCRAP,1,
2026-04,30,2026-04-30 00:00:00,7200007556V1,,,HOUX01940NA,CKAD,OUT,OUT SCRAP,1,
2026-04,30,2026-04-30 00:00:00,7200007556V1,,,HOUX00611NA,CKAD,OUT,OUT SCRAP,1,
2026-04,30,2026-04-30 00:00:00,EAD62090005,,,FOMA00399NA,CKAD,OUT,OUT SCRAP,30,
2026-04,30,2026-04-30 00:00:00,EAD62090005,,,FOMA00392NA,CKAD,OUT,OUT SCRAP,110,
2026-04,30,2026-04-30 00:00:00,EAD63911352V1,,,TPAX00389NA,CKAD,OUT,OUT SCRAP,100,
2026-04,30,2026-04-30 00:00:00,EAD63911358,,,TPAX00389NA,CKAD,OUT,OUT SCRAP,50,
2026-04,30,2026-04-30 00:00:00,EAD66091503V3,,,HOUX00400NA,CKAD,OUT,OUT SCRAP,50,
2026-04,30,2026-04-30 00:00:00,EAD64149412,,,HOUX00890NA,CKAD,OUT,OUT SCRAP,20,
2026-04,30,2026-04-30 00:00:00,EAD63913527V1,,,TPAX00282NA,CKAD,OUT,OUT SCRAP,100,
2026-04,30,2026-04-30 00:00:00,GC-TAPB00003NA,,,GC-TAPB00003NA,CKAD,OUT,OUT SCRAP,52.69,
2026-04,30,2026-04-30 00:00:00,GC-TAPA00076NA,,,GC-TAPA00076NA,CKAD,OUT,OUT SCRAP,34.91,
