Period,Ngày,Ngày tháng,HS code,Prod code,Sale code,Item code,STOCK OUT,Transaction type,QTY,Level subcon,Remark
2026-04,1,2026-04-01 00:00:00,EAD64765409,EAD64765409-T,EAD64765409-T,,CKAL,SUB IN,1000,2,
2026-04,1,2026-04-01 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,,CKAL,SUB IN,3000,2,
2026-04,1,2026-04-01 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,997,2,
2026-04,1,2026-04-01 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3983,2,
2026-04,1,2026-04-01 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,1,2026-04-01 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,,CKAL,SUB IN,3000,2,
2026-04,1,2026-04-01 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,1,2026-04-01 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1000,2,
2026-04,1,2026-04-01 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,997,2,
2026-04,1,2026-04-01 00:00:00,EAD64169024,EAD64169024-I,EAD64169024-I,,CKTN,SUB IN,495,2,
2026-04,1,2026-04-01 00:00:00,EAD64169024,EAD64169024-I,EAD64169024-I,,CKTN,SUB IN,495,2,
2026-04,1,2026-04-01 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,,CKMT,SUB IN,997,2,
2026-04,1,2026-04-01 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,,CKMT,SUB IN,-30,2,
2026-04,1,2026-04-01 00:00:00,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,,CKTN,SUB IN,-16,2,
2026-04,1,2026-04-01 00:00:00,EAD63954791,EAD63954791-I,EAD63954791-I,,CKTN,SUB IN,-2,2,
2026-04,1,2026-04-01 00:00:00,EAD64169020,EAD64169020-I,EAD64169020-I,,CKTN,SUB IN,-10,2,
2026-04,1,2026-04-01 00:00:00,6850EC3006X,6850EC3006X-T,6850EC3006X-T,,CKAL,SUB IN,-3,2,
2026-04,1,2026-04-01 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,,CKMT,SUB IN,-6,2,
2026-04,1,2026-04-01 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,,CKTN,SUB IN,-1,2,
2026-04,2,2026-04-02 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,1000,2,
2026-04,2,2026-04-02 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,2,2026-04-02 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,,CKAL,SUB IN,2000,2,
2026-04,2,2026-04-02 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,2,2026-04-02 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,600,2,
2026-04,2,2026-04-02 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,1198,2,
2026-04,2,2026-04-02 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,1000,2,
2026-04,4,2026-04-04 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,200,2,
2026-04,2,2026-04-02 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,1000,2,
2026-04,2,2026-04-02 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,,CKAL,SUB IN,3000,2,
2026-04,3,2026-04-03 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,1000,2,
2026-04,3,2026-04-03 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,3,2026-04-03 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,3,2026-04-03 00:00:00,EAD62061319,EAD62061319-T,EAD62061319-T,,CKAL,SUB IN,1500,2,
2026-04,3,2026-04-03 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,3,2026-04-03 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1000,2,
2026-04,3,2026-04-03 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,,CKAL,SUB IN,1000,2,
2026-04,3,2026-04-03 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,394,2,
2026-04,3,2026-04-03 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,770,2,
2026-04,4,2026-04-04 00:00:00,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,,CKTN,SUB IN,60,2,
2026-04,4,2026-04-04 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,4,2026-04-04 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,,CKAL,SUB IN,1996,2,
2026-04,4,2026-04-04 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1200,2,
2026-04,4,2026-04-04 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,4,2026-04-04 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,,CKAL,SUB IN,1000,2,
2026-04,4,2026-04-04 00:00:00,EAD60946255-GC1,EAD60946255-I,EAD60946255-I,,CKTN,SUB IN,6,2,
2026-04,5,2026-04-05 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,1000,2,
2026-04,5,2026-04-05 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,,CKMT,SUB IN,1498,2,
2026-04,6,2026-04-06 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,790,2,
2026-04,6,2026-04-06 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,500,2,
2026-04,6,2026-04-06 00:00:00,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,,CKTN,SUB IN,46,2,
2026-04,6,2026-04-06 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,6,2026-04-06 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,6,2026-04-06 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,,CKAL,SUB IN,3004,2,
2026-04,6,2026-04-06 00:00:00,EAD64765409,EAD64765409-T,EAD64765409-T,,CKTN,SUB IN,6,2,
2026-04,6,2026-04-06 00:00:00,EAD64765409,EAD64765409-T,EAD64765409-T,,CKAL,SUB IN,1002,2,
2026-04,6,2026-04-06 00:00:00,EAD63911352V1,EAD63911352-I1,EAD63911352-I,,CKAL,SUB IN,1000,2,
2026-04,7,2026-04-07 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,1000,2,
2026-04,7,2026-04-07 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,1205,2,
2026-04,7,2026-04-07 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,995,2,
2026-04,7,2026-04-07 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,998,2,
2026-04,7,2026-04-07 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,2900,2,
2026-04,7,2026-04-07 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,7,2026-04-07 00:00:00,EAD65606208,EAD65606208-I,EAD65606208-I,,CKAL,SUB IN,1000,2,
2026-04,7,2026-04-07 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,,CKAL,SUB IN,3000,2,
2026-04,7,2026-04-07 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,-150,2,
2026-04,7,2026-04-07 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,-11,2,
2026-04,7,2026-04-07 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,-5,2,
2026-04,7,2026-04-07 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,,CKVB,SUB IN,-4,2,
2026-04,7,2026-04-07 00:00:00,EAD63911352V1,EAD63911352-I1,EAD63911352-I,,CKAL,SUB IN,-12,2,
2026-04,7,2026-04-07 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,-3,2,
2026-04,8,2026-04-08 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,999,2,
2026-04,8,2026-04-08 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,2982,2,
2026-04,8,2026-04-08 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,,CKVB,SUB IN,500,2,
2026-04,8,2026-04-08 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,8,2026-04-08 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,680,2,
2026-04,8,2026-04-08 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,8,2026-04-08 00:00:00,EAD65606208,EAD65606208-I,EAD65606208-I,,CKAL,SUB IN,998,2,
2026-04,8,2026-04-08 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,20,2,
2026-04,8,2026-04-08 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,1000,2,
2026-04,8,2026-04-08 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,1000,2,
2026-04,9,2026-04-09 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,996,2,
2026-04,9,2026-04-09 00:00:00,EAD63954790,EAD63954790-I,EAD63954790-I,,CKTN,SUB IN,30,2,
2026-04,9,2026-04-09 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,,CKVB,SUB IN,499,2,
2026-04,9,2026-04-09 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,9,2026-04-09 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,800,2,
2026-04,9,2026-04-09 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,9,2026-04-09 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1000,2,
2026-04,9,2026-04-09 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,280,2,
2026-04,9,2026-04-09 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,390,2,
2026-04,9,2026-04-09 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,,CKAL,SUB IN,2999,2,
2026-04,10,2026-04-10 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,996,2,
2026-04,10,2026-04-10 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,500,2,
2026-04,10,2026-04-10 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,,CKVB,SUB IN,497,2,
2026-04,10,2026-04-10 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,3000,2,
2026-04,10,2026-04-10 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,10,2026-04-10 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,,CKAL,SUB IN,3000,2,
2026-04,10,2026-04-10 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,900,2,
2026-04,10,2026-04-10 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,997,2,
2026-04,10,2026-04-10 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,291,2,
2026-04,10,2026-04-10 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,,CKMT,SUB IN,695,2,
2026-04,11,2026-04-11 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,500,2,
2026-04,11,2026-04-11 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,11,2026-04-11 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1100,2,
2026-04,11,2026-04-11 00:00:00,EAD65616820,EAD65616820-I,EAD65616820-I,,CKVB,SUB IN,44,2,
2026-04,11,2026-04-11 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,598,2,
2026-04,11,2026-04-11 00:00:00,EAD63707539,EAD63707539-T,EAD63707539-T,,CKAL,SUB IN,280,2,
2026-04,11,2026-04-11 00:00:00,EAD63707525,EAD63707525-I,EAD63707525-I,,CKAL,SUB IN,280,2,
2026-04,11,2026-04-11 00:00:00,EAD63707540,EAD63707540-T,EAD63707540-T,,CKAL,SUB IN,560,2,
