Period,Ngày nhập kho,Mã HS,Prod code,Sale code,ACTUAL QTY,Ghi chú
2026-04,2026-04-01 00:00:00,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,-16,
2026-04,2026-04-01 00:00:00,EAD63954791,EAD63954791-I,EAD63954791-I,-2,
2026-04,2026-04-01 00:00:00,EAD64169020,EAD64169020-I,EAD64169020-I,-10,
2026-04,2026-04-01 00:00:00,6850EC3006X,6850EC3006X-T,6850EC3006X-T,-3,
2026-04,2026-04-01 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,-6,
2026-04,2026-04-01 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,-1,
2026-04,2026-04-01 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,-30,
2026-04,2026-04-01 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,997,
2026-04,2026-04-01 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3983,
2026-04,2026-04-01 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-01 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,2000,
2026-04,2026-04-01 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-01 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,1000,
2026-04,2026-04-01 00:00:00,EAD64169024,EAD64169024-I,EAD64169024-I,495,
2026-04,2026-04-01 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-02 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3000,
2026-04,2026-04-02 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-02 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,1000,
2026-04,2026-04-02 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3000,
2026-04,2026-04-02 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,998,
2026-04,2026-04-02 00:00:00,EAD64765409,EAD64765409-T,EAD64765409-T,1000,
2026-04,2026-04-02 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,1000,
2026-04,2026-04-02 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,2000,
2026-04,2026-04-03 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-03 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3000,
2026-04,2026-04-03 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-03 00:00:00,EAD62061319,EAD62061319-T,EAD62061319-T,1500,
2026-04,2026-04-03 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-03 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,1000,
2026-04,2026-04-03 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3000,
2026-04,2026-04-03 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,970,
2026-04,2026-04-03 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,1000,
2026-04,2026-04-03 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,1000,
2026-04,2026-04-04 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-04 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3000,
2026-04,2026-04-04 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,1996,
2026-04,2026-04-04 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1200,
2026-04,2026-04-04 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-04 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,1000,
2026-04,2026-04-04 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,200,
2026-04,2026-04-04 00:00:00,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,60,
2026-04,2026-04-04 00:00:00,EAD60946255-GC1,EAD60946255-I,EAD60946255-I,6,
2026-04,2026-04-06 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,500,
2026-04,2026-04-06 00:00:00,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,46,
2026-04,2026-04-06 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,1000,
2026-04,2026-04-06 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,3000,
2026-04,2026-04-06 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,994,
2026-04,2026-04-06 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-06 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3004,
2026-04,2026-04-06 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,997,
2026-04,2026-04-06 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,790,
2026-04,2026-04-06 00:00:00,EAD64765409,EAD64765409-T,EAD64765409-T,1008,
2026-04,2026-04-06 00:00:00,EAD64169024,EAD64169024-I,EAD64169024-I,495,
2026-04,2026-04-07 00:00:00,EAD63911352V1,EAD63911352-I1,EAD63911352-I,1000,
2026-04,2026-04-07 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,998,
2026-04,2026-04-07 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,2900,
2026-04,2026-04-07 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,1000,
2026-04,2026-04-07 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,1205,
2026-04,2026-04-07 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,995,
2026-04,2026-04-07 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,-150,
2026-04,2026-04-07 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,-11,
2026-04,2026-04-07 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,-5,
2026-04,2026-04-07 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,-4,
2026-04,2026-04-07 00:00:00,EAD63911352V1,EAD63911352-I1,EAD63911352-I,-12,
2026-04,2026-04-07 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,-3,
2026-04,2026-04-08 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,5982,
2026-04,2026-04-08 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,1000,
2026-04,2026-04-08 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,480,
2026-04,2026-04-08 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,3000,
2026-04,2026-04-08 00:00:00,EAD65606208,EAD65606208-I,EAD65606208-I,1998,
2026-04,2026-04-08 00:00:00,EAD64109903,EAD64109903-T,EAD64109903-T,3000,
2026-04,2026-04-08 00:00:00,EAD63911420,EAD63911420-I,EAD63911420-I,1498,
