Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,HS code,Prod code,Sale code,ĐVT,QTY SALE,Ngày giao hàng,QTY RETURN,Remark
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,998,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,4000,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,2000,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,2908,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,997,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD64169024,EAD64169024-I,EAD64169024-I,SET/ Bộ,498,,,
2026-04,308389914140,2026-04-01 00:00:00,E52,166,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,1000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,EAD64109903,EAD64109903-T,EAD64109903-T,SET/ Bộ,3000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,1000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,EAD64765409,EAD64765409-T,EAD64765409-T,SET/ Bộ,1000,,,
2026-04,308394464400,2026-04-02 00:00:00,E52,169,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,1000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD63845502,EAD63845502-T,EAD63845502-T,SET/ Bộ,1998,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD62061319,EAD62061319-T,EAD62061319-T,SET/ Bộ,1500,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,3092,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD62090005,EAD62090005-T,EAD62090005-T,SET/ Bộ,1000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD64109903,EAD64109903-T,EAD64109903-T,SET/ Bộ,3000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,1000,,,
2026-04,308398673940,2026-04-03 00:00:00,E52,172,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,974,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1000,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD63845502,EAD63845502-T,EAD63845502-T,SET/ Bộ,2000,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,2908,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD62090005,EAD62090005-T,EAD62090005-T,SET/ Bộ,1000,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,1000,,,
2026-04,308399723940,2026-04-04 00:00:00,E52,173,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,500,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD60843547-GC1,EAD60843547-I,EAD60843547-I,SET/ Bộ,89,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,1997,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD63911352V1,EAD63911352-I1,EAD63911352-I,SET/ Bộ,1000,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD63911358,EAD63911358-I,EAD63911358-I,SET/ Bộ,1000,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,5992,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD64109903,EAD64109903-T,EAD64109903-T,SET/ Bộ,3003,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD63911420,EAD63911420-I,EAD63911420-I,SET/ Bộ,994,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,1000,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD64765409,EAD64765409-T,EAD64765409-T,SET/ Bộ,1008,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD64169024,EAD64169024-I,EAD64169024-I,SET/ Bộ,495,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,1000,,,
2026-04,308404983040,2026-04-06 00:00:00,E52,174,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,500,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,6000,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1200,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD63911358,EAD63911358-I,EAD63911358-I,SET/ Bộ,500,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,3000,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD65606208,EAD65606208-I,EAD65606208-I,SET/ Bộ,2000,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD64109903,EAD64109903-T,EAD64109903-T,SET/ Bộ,3000,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD63911420,EAD63911420-I,EAD63911420-I,SET/ Bộ,1500,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,1000,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,1205,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD66091501V3,EAD66091501-I,EAD66091501-I,SET/ Bộ,496,,,
2026-04,308412822560,2026-04-08 00:00:00,E52,177,EAD66091503V3,EAD66091503-I,EAD66091503-I,SET/ Bộ,488,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,993,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,3000,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,800,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,3000,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,958,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308416930860,2026-04-09 00:00:00,E52,178,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,1000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,1000,,,
2026-04,308421472020,2026-04-10 00:00:00,E52,181,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,2000,,,
